Duration,Init,Name,Concat Size,Convergence Epoch,Layers,Learning Rate,Loss,Loss Val,Mae Test,Qubits,Rmse Test,Training Time,User,237.9682116,,209.88,265.62,,,suma total cuadr
1.8min,xavier,mackey1689Xavier,16,19,4,0.0005,0.011519391,0.009753479,0.072629712,8,0.088749375,35.92829609,52333,56586.63854,22295135.59,44012.36884,,57.9121,,32.92579161
1.2min,xavier,mackey1669Xavier,16,7,3,0.0005,0.057686979,0.056571171,0.177061266,6,0.213738674,17.25609255,52333,56527.18939,22271712.62,43959.94114,,19.2721,,22.44959161
57.8s,xavier,mackey1649Xavier,16,8,2,0.0005,0.058282609,0.057521939,0.180743195,4,0.215527299,12.47477746,52333,56526.33889,22271377.52,43959.19111,,11.4921,,22.44959161
32.4s,xavier,mackey1629Xavier,16,8,1,0.0005,0.063666029,0.063120883,0.188985934,2,0.22577303,7.226406574,52333,56521.46709,22269458.03,43954.89489,,11.4921,,10.63999161
51.1min,xavier,legendre316129Xavier,16,16,6,0.0005,0.005850353,0.005155276,0.11892541,12,0.153890921,2746.329361,52333,56555.65111,22282926.54,43985.04083,,21.2521,,0.54479161
5.6min,xavier,legendre316109Xavier,16,12,5,0.0005,0.016161176,0.015270757,0.226443187,10,0.264860586,163.1422107,52333,56502.88308,22262135.93,43938.50667,,0.3721,,7.49719161
2.7min,xavier,legendre31689Xavier,16,10,4,0.0005,0.013170818,0.012545002,0.202776181,8,0.240061444,44.30336762,52333,56514.67337,22266781.31,43948.90384,,1.9321,,3.02099161
1.9min,xavier,legendre31669Xavier,16,11,3,0.0005,0.0057326,0.004945275,0.121235404,6,0.150723956,28.55221534,52333,56557.15742,22283520.02,43986.36923,,0.1521,,7.49719161
1.7min,xavier,legendre31649Xavier,16,10,2,0.0005,0.01397626,0.013521262,0.211751139,4,0.249227326,20.06058788,52333,56510.31548,22265064.3,43945.06085,,1.9321,,45.40199161
1.2min,xavier,legendre31629Xavier,16,6,1,0.0005,0.054314238,0.053863424,0.418607827,2,0.497432353,12.17894411,52333,56392.37099,22218594.17,43841.05963,,29.0521,,39.21139161
10.4min,xavier,euro16129Xavier,16,19,6,0.0005,0.004808055,0.001417713,0.003134017,12,0.004618836,505.6944633,52333,56626.67147,22310908.56,44047.67562,,57.9121,,85.78279161
24.6min,xavier,euro16109Xavier,16,22,5,0.0005,0.004839336,0.003353874,0.005617025,10,0.007104144,164.244837,52333,56625.48866,22310442.53,44046.63241,,112.5721,,52.73519161
